Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
701,Bot 01,B01,True,True,134.940,4,3,4,0,0,64.311,0.250,Stuck,2380,q_table_v6.json,False,45.060,TurnLeftAndAccelerate,cp:4|dist:medium|angle:right|speed:slow|progress:danger|bomb:False|fsm:Recover
702,Bot 06,B06,True,True,541.808,15,14,0,4,1,99.410,0.250,RaceComplete,2380,q_table_v6.json,False,0.000,Coast,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
703,Bot 02,B02,True,True,539.216,15,14,0,0,1,94.184,0.250,RaceComplete,2380,q_table_v6.json,False,0.000,AccelerateForward,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
704,Bot 08,B08,True,True,243.966,7,6,7,5,0,91.615,0.250,Stuck,2380,q_table_v6.json,False,45.064,AccelerateForward,cp:7|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
705,Bot 05,B05,True,True,542.043,15,14,0,5,0,110.202,0.250,RaceComplete,2380,q_table_v6.json,False,0.000,HardRight,cp:0|dist:far|angle:hardLeft|speed:cruise|progress:fresh|bomb:False|fsm:Recover
706,Bot 03,B03,True,True,241.413,7,6,7,3,1,94.022,0.250,Stuck,2380,q_table_v6.json,False,45.005,TurnLeftAndAccelerate,cp:7|dist:close|angle:forward|speed:cruise|progress:danger|bomb:False|fsm:Racing
707,Bot 07,B07,True,True,382.218,11,10,11,0,1,125.636,0.250,Stuck,2381,q_table_v6.json,False,45.060,RecoveryTurn,cp:11|dist:close|angle:hardLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
708,Bot 04,B04,True,True,248.147,7,6,7,1,0,83.396,0.250,Stuck,2381,q_table_v6.json,False,45.056,AccelerateForward,cp:7|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
709,Bot 01,B01,True,True,243.081,7,6,7,0,0,76.756,0.250,Stuck,2381,q_table_v6.json,False,45.057,AccelerateForward,cp:7|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
710,Bot 09,B09,True,True,421.730,12,11,12,6,0,131.933,0.250,Stuck,2381,q_table_v6.json,False,45.063,TurnLeftAndAccelerate,cp:12|dist:far|angle:hardLeft|speed:cruise|progress:danger|bomb:False|fsm:Recover
711,Bot 10,B10,True,True,421.662,12,11,12,1,0,97.175,0.250,Stuck,2381,q_table_v6.json,False,45.062,Brake,cp:12|dist:medium|angle:hardRight|speed:cruise|progress:danger|bomb:False|fsm:Recover
712,Bot 06,B06,True,True,242.102,7,6,7,3,0,109.207,0.250,Stuck,2381,q_table_v6.json,False,45.001,AccelerateForward,cp:7|dist:close|angle:behindLeft|speed:slow|progress:danger|bomb:False|fsm:Racing
