Episode,BotName,BotId,SharedQTable,LearningEnabled,TotalReward,CheckpointsReached,BestCheckpointIndex,TargetCheckpointIndex,CoinsCollected,BombsHit,Duration,Epsilon,EndReason,LearnedStateCount,QTableFile,NewBest,TimeSinceCheckpointProgress,LastAction,LastState
114,Bot 07,B07,TRUE,FALSE,547.637,15,14,15,1,0,80.331,0.1,RaceComplete,2589,q_table_v7_best.json,FALSE,6.562,Coast,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
115,Bot 05,B05,TRUE,FALSE,544.533,15,14,15,1,0,94.763,0.1,RaceComplete,2594,q_table_v7_best.json,FALSE,8.298,TurnRightAndAccelerate,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
116,Bot 03,B03,TRUE,FALSE,437.718,12,11,12,0,0,88.541,0.1,Stuck,2594,q_table_v7_best.json,FALSE,45.053,AccelerateForward,cp:12|dist:far|angle:forward|speed:max|progress:danger|bomb:False|fsm:Recover
117,Bot 09,B09,TRUE,FALSE,95.125,3,2,3,0,0,56.428,0.1,Stuck,2594,q_table_v7_best.json,FALSE,45.059,RecoveryTurn,cp:3|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
118,Bot 04,B04,TRUE,FALSE,97.524,3,2,3,0,0,59.415,0.1,Stuck,2594,q_table_v7_best.json,FALSE,45.056,AccelerateForward,cp:3|dist:far|angle:right|speed:cruise|progress:danger|bomb:False|fsm:Recover
119,Bot 02,B02,TRUE,FALSE,99.296,3,2,3,0,0,55.681,0.1,Stuck,2594,q_table_v7_best.json,FALSE,45.054,Coast,cp:3|dist:far|angle:behindRight|speed:fast|progress:danger|bomb:False|fsm:Recover
120,Bot 01,B01,TRUE,FALSE,99.77,3,2,3,0,0,55.264,0.1,Stuck,2595,q_table_v7_best.json,FALSE,45.057,AccelerateForward,cp:3|dist:far|angle:right|speed:fast|progress:danger|bomb:False|fsm:Recover
121,Bot 10,B10,TRUE,FALSE,548.177,15,14,15,4,0,71.781,0.1,RaceComplete,2595,q_table_v7_best.json,FALSE,8.204,AccelerateForward,cp:finish|dist:close|angle:forward|speed:slow|progress:fresh|bomb:False|fsm:Racing
122,Bot 08,B08,TRUE,FALSE,541.82,15,14,15,5,0,95.595,0.1,RaceComplete,2595,q_table_v7_best.json,FALSE,6.553,AccelerateForward,cp:finish|dist:close|angle:forward|speed:cruise|progress:fresh|bomb:False|fsm:Racing
123,Bot 05,B05,TRUE,FALSE,96.439,3,2,3,0,0,58.5,0.1,Stuck,2595,q_table_v7_best.json,FALSE,45.06,RecoveryTurn,cp:3|dist:close|angle:forward|speed:slow|progress:danger|bomb:False|fsm:Racing
